X.i, X.j, Y.i, Y.j
547,413,398,337
548,413,399,338
549,412,400,338
550,413,401,339
549,414,402,340
549,413,403,340
549,414,404,341
550,414,405,342
550,414,406,342
551,415,407,343
551,416,408,344
552,416,409,345
553,416,410,345
553,417,411,346
554,418,412,347
555,419,413,348
556,419,414,348
555,420,415,349
556,420,416,350
557,419,417,350
558,419,418,350
559,418,419,350
560,419,420,350
560,420,421,351
561,420,422,351
560,421,423,352
560,421,424,353
561,421,425,353
560,422,426,354
560,423,427,355
561,424,428,356
562,423,429,357
562,423,430,357
563,423,431,357
563,423,432,358
562,424,433,359
563,425,434,360
564,425,435,361
564,425,436,361
563,424,437,361
562,425,438,362
563,425,439,363
564,426,440,364
565,427,441,365
566,426,442,365
566,427,443,366
567,428,444,367
568,427,445,367
568,428,446,367
569,429,447,368
570,430,448,369
571,430,449,369
572,430,450,369
573,430,451,369
573,431,452,370
573,431,453,371
573,431,454,372
573,431,455,372
574,431,456,372
575,432,457,373
575,433,458,374
576,434,459,375
576,435,460,376
576,436,461,377
575,436,462,378
576,436,463,379
577,437,464,380
578,437,465,381
579,437,466,381
580,438,467,382
581,439,468,383
582,440,469,384
582,440,470,384
582,441,471,385
583,442,472,386
583,443,473,387
584,444,474,388
585,444,475,389
586,443,476,389
585,444,477,390
586,445,478,391
587,445,479,391
588,446,480,392
587,445,481,392
587,446,482,393
588,447,483,394
588,446,484,394
589,446,485,394
588,447,486,395
589,446,487,395
588,447,488,396
588,447,489,397
588,447,490,398
589,447,491,398
590,447,492,398
591,448,493,399
590,449,494,400
589,449,495,401
590,449,496,402
591,449,497,402
592,448,498,402
593,449,499,402
594,450,500,403
595,449,501,403
596,449,502,403
597,448,503,403
597,449,504,403
598,450,505,404
599,449,506,404
598,449,507,404
598,450,508,405
597,451,509,406
598,452,510,407
598,452,511,408
599,451,512,408
598,450,513,408
599,451,514,409
598,452,515,410
599,453,516,411
600,454,517,412
601,454,518,413
601,455,519,414
602,454,520,414
602,455,521,415
603,455,522,415
603,456,523,416
602,457,524,417
602,458,525,418
603,458,526,419
604,459,527,420
604,459,528,421
604,460,529,422
605,460,530,423
604,459,531,423
605,460,532,424
606,460,533,424
605,461,534,425
606,461,535,426
607,460,536,426
608,460,537,426
607,460,538,426
608,461,539,427
608,461,540,427
609,461,541,427
610,462,542,428
610,463,543,429
609,464,544,430
609,465,545,431
610,465,546,432
610,466,547,433
609,467,548,434
609,468,549,435
608,467,550,436
608,468,551,437
609,467,552,438
608,468,553,439
608,467,554,440
609,467,555,440
610,467,556,440
611,468,557,441
612,469,558,442
611,470,559,443
610,471,560,444
611,472,561,445
612,471,562,446
613,470,563,446
612,470,564,446
613,470,565,446
613,471,566,447
613,472,567,448
614,471,568,448
615,471,569,448
616,472,570,449
616,473,571,450
617,473,572,451
617,474,573,452
617,475,574,453
618,475,575,454
617,475,576,455
617,474,577,455
618,474,578,455
618,473,579,455
619,474,580,455
618,475,581,456
617,475,582,457
617,476,583,458
616,475,584,459
617,475,585,459
617,476,586,460
617,475,587,460
618,476,588,461
618,477,589,462
619,477,590,463
619,478,591,464
620,479,592,465
621,480,593,466
620,481,594,467
620,480,595,468
621,481,596,469
622,481,597,469
621,481,598,470
621,481,599,470
622,481,600,470
623,480,601,470
623,480,602,470
623,481,603,471
624,482,604,472
625,481,605,472
626,480,606,472
627,481,607,472
627,481,608,472
627,480,609,472
628,480,610,472
629,481,611,472
630,480,612,472
629,480,613,472
628,481,614,473
628,481,615,474
628,481,616,475
629,481,617,475
629,482,618,476
630,483,619,477
631,483,620,478
631,482,621,478
631,482,622,478
632,482,623,478
633,482,624,478
634,483,625,479
635,484,626,480
636,485,627,481
637,485,628,481
638,485,629,481
639,486,630,482
639,486,631,482
640,487,632,483
639,487,633,484
639,488,634,485
639,489,635,486
639,490,636,487
640,491,637,488
641,492,638,489
641,492,639,490
641,493,640,491
642,494,641,492
641,494,641,493
641,495,641,494
642,496,642,495
643,495,643,495
